id_folha,pai_id,nivel,codigo_folha,descricao_folha,caminho_codigo,profundidade,empresa_id,departamento_id,categoria_id,sub_categoria_id,segmento_id,sub_segmento_id,codigo_departamento_id,codigo_categoria_id,codigo_sub_categoria_id,codigo_segmento_id,codigo_sub_segmento_id,descricao_departamento_id,descricao_categoria_id,descricao_sub_categoria_id,descricao_segmento_id,descricao_sub_segmento_id
46742,46591,4,26,65G,3 > 1 > 5 > 26,4,633,46386,46387,46591,46742,,3,1,5,26,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,65G,
46745,46591,4,27,950G,3 > 1 > 5 > 27,4,633,46386,46387,46591,46745,,3,1,5,27,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,950G,
46785,46748,5,1,300G,3 > 1 > 5 > 28 > 1,5,633,46386,46387,46591,46748,46785,3,1,5,28,1,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,NEUTRALIZANTE,300G
46751,46591,4,29,VALVULA,3 > 1 > 5 > 29,4,633,46386,46387,46591,46751,,3,1,5,29,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,VALVULA,
46648,46591,4,3,150G,3 > 1 > 5 > 3,4,633,46386,46387,46591,46648,,3,1,5,3,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,150G,
46657,46591,4,4,150ML,3 > 1 > 5 > 4,4,633,46386,46387,46591,46657,,3,1,5,4,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,150ML,
46664,46591,4,5,153G,3 > 1 > 5 > 5,4,633,46386,46387,46591,46664,,3,1,5,5,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,153G,
46671,46591,4,6,15ML,3 > 1 > 5 > 6,4,633,46386,46387,46591,46671,,3,1,5,6,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,15ML,
46676,46591,4,7,170G,3 > 1 > 5 > 7,4,633,46386,46387,46591,46676,,3,1,5,7,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,170G,
46681,46591,4,8,200G,3 > 1 > 5 > 8,4,633,46386,46387,46591,46681,,3,1,5,8,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,200G,
46686,46591,4,9,230G,3 > 1 > 5 > 9,4,633,46386,46387,46591,46686,,3,1,5,9,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,CREME MASCARA TRATAMENTO,230G,
46614,46592,4,1,100ML,3 > 1 > 6 > 1,4,633,46386,46387,46592,46614,,3,1,6,1,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,TONICO CAPILAR,100ML,
46634,46592,4,2,120ML,3 > 1 > 6 > 2,4,633,46386,46387,46592,46634,,3,1,6,2,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,TONICO CAPILAR,120ML,
46615,46593,4,1,100ML,3 > 1 > 7 > 1,4,633,46386,46387,46593,46615,,3,1,7,1,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,OLEO CAPILAR,100ML,
46635,46593,4,2,30ML,3 > 1 > 7 > 2,4,633,46386,46387,46593,46635,,3,1,7,2,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,OLEO CAPILAR,30ML,
55636,55028,3,754,FARINHA TRIGO,3 > 1 > 754,3,633,54937,55028,55636,,,3,1,754,,,FARINACEOS,FAR TRIGO,FARINHA TRIGO,,
46616,46594,4,1,100UN,3 > 1 > 8 > 1,4,633,46386,46387,46594,46616,,3,1,8,1,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,GRAMPO CABELOS,100UN,
46617,46595,4,1,100UN,3 > 1 > 9 > 1,4,633,46386,46387,46595,46617,,3,1,9,1,,HIGIENE / SAUDE / BELEZA,CUIDADO CABELO,GRAMPO CABELO,100UN,
55477,55037,3,1,FAR M TEMPERADA,3 > 2 > 1,3,633,54937,55037,55477,,,3,2,1,,,FARINACEOS,FAR MANDIOCA,FAR M TEMPERADA,,
